data,user,system,children_user,iowait,num_threads,rss_mem, vms_mem,shared_mem, data_mem, read_count_io,write_count_io,read_bytes_io,write_bytes_io2022-04-05 23:45:28,0.0,0.0,0.0,0.0,1,6860800,12861440,5267456,2732032,14,0,0,0
2022-04-05 23:45:29,0.21,0.07,0.0,0.73,1,153899008,1471180800,111321088,88367104,224,1,133615616,0
2022-04-05 23:45:30,0.67,0.33,0.0,1.36,5,226279424,1834532864,138702848,269946880,1538,1,180367360,0
2022-04-05 23:45:32,1.07,0.38,0.0,1.96,5,280616960,2719326208,155283456,315285504,2836,1,215113728,0
2022-04-05 23:45:33,1.3,0.46,0.0,2.66,5,430735360,2766389248,273715200,332406784,2986,1,365248512,0
2022-04-05 23:45:34,1.72,0.54,0.0,3.15,5,481964032,2881400832,281260032,375386112,4589,1,396468224,0
2022-04-05 23:45:35,2.09,0.63,0.0,3.7,5,524517376,3025207296,291692544,407949312,5948,2,426295296,4096
2022-04-05 23:45:36,2.38,0.71,0.0,4.32,5,550776832,3073540096,298102784,427618304,7884,2,448380928,4096
2022-04-05 23:45:37,2.84,0.81,0.0,4.77,5,584986624,3166257152,306425856,452939776,9095,6,472018944,4096
2022-04-05 23:46:48,0.0,0.0,0.0,0.0,1,6893568,12861440,5300224,2732032,14,0,0,0
2022-04-05 23:46:49,1.05,0.29,0.0,0.0,5,346333184,2719453184,214491136,314822656,2836,1,0,0
2022-04-05 23:46:50,1.95,0.39,0.0,0.0,5,538255360,3070111744,298958848,414490624,6294,2,0,4096
2022-04-05 23:46:51,2.77,0.48,0.0,0.05,5,633753600,3389800448,327938048,483479552,11043,11,14544896,4096
2022-04-05 23:47:08,0.0,0.0,0.0,0.0,1,7356416,12861440,5505024,2732032,22,0,0,0
2022-04-05 23:47:09,1.04,0.3,0.0,0.0,5,344907776,2719453184,213069824,314822656,2836,1,0,0
2022-04-05 23:47:10,1.95,0.4,0.0,0.0,5,536907776,3070509056,297086976,414887936,6436,2,0,4096
2022-04-05 23:47:11,2.83,0.47,0.0,0.0,5,632147968,3390062592,326090752,483741696,11044,11,0,4096
2022-04-05 23:47:17,0.0,0.0,0.0,0.0,1,2547712,5079040,2306048,491520,33,0,0,0
2022-04-05 23:47:22,0.02,0.0,0.0,0.0,1,4091904,6111232,2846720,1466368,203,134,131072,4096
2022-04-05 23:50:17,0.0,0.0,0.0,0.0,1,7147520,12861440,5287936,2732032,17,0,0,0
2022-04-05 23:50:18,1.06,0.29,0.0,0.0,5,348196864,2719846400,216043520,315215872,2835,1,0,0
2022-04-05 23:50:19,1.98,0.38,0.0,0.0,5,538734592,3071037440,298319872,415416320,6577,2,0,4096
2022-04-05 23:50:20,2.72,0.45,0.0,0.01,5,634281984,3390566400,327696384,484245504,11177,13,524288,4096
2022-04-05 23:50:21,3.37,0.52,0.0,0.02,6,635453440,3467284480,327696384,493981696,20661,17906,946176,73232384
2022-04-05 23:50:22,4.23,0.67,0.0,0.02,6,635453440,3467284480,327696384,493981696,34325,44476,946176,182022144
2022-04-05 23:50:23,5.11,0.78,0.0,0.02,6,635453440,3467284480,327696384,493981696,47997,71094,946176,291008512
2022-04-05 23:50:24,5.96,0.94,0.0,0.02,6,635453440,3467284480,327696384,493981696,61765,97798,946176,400347136
2022-04-05 23:50:25,6.65,1.25,0.0,0.03,6,1344634880,4176216064,328478720,1202913280,66957,107055,1662976,438243328
2022-04-05 23:50:26,7.25,1.47,0.0,0.27,9,1734455296,9706344448,444178432,1504886784,67279,107071,36847616,438243328
2022-04-05 23:50:27,7.72,1.63,0.0,0.66,9,2178613248,10264252416,497876992,1895022592,67279,107071,105988096,438243328
2022-04-05 23:50:28,8.08,1.84,0.0,1.09,9,2660237312,10849157120,562503680,2312155136,67279,107071,198426624,438243328
2022-04-05 23:50:29,8.5,2.06,0.0,1.44,9,3216928768,11537354752,632074240,2799026176,67279,107071,280322048,438243328
2022-04-05 23:50:30,9.04,2.26,0.0,1.7,9,3782356992,12242534400,693850112,3302879232,67279,107071,348454912,438243328
2022-04-05 23:50:31,9.45,2.37,0.0,1.81,9,3750854656,12917657600,725315584,3239804928,67563,107081,382861312,438243328
2022-04-05 23:50:33,9.49,2.4,0.0,3.36,9,3456966656,12824449024,743673856,2927452160,67749,107087,452173824,438243328
2022-04-05 23:50:35,9.49,2.42,0.0,4.63,9,3465527296,12824449024,752234496,2927452160,67749,107087,486653952,438243328
2022-04-05 23:50:36,9.52,2.46,0.0,5.64,9,3508002816,12879237120,794710016,2927452160,67757,107087,647675904,438243328
2022-04-05 23:50:37,0.0,0.0,0.0,0.0,1,446464,5652480,405504,1179648,7,0,0,0
2022-04-05 23:50:38,1.05,0.29,0.0,0.0,5,345456640,2719444992,213606400,314814464,2835,1,0,0
2022-04-05 23:50:39,1.99,0.35,0.0,0.0,5,537141248,3069714432,298082304,414093312,6189,2,0,4096
2022-04-05 23:50:50,2.76,0.48,0.0,0.0,5,633516032,3389898752,327700480,483577856,11083,10,0,4096
2022-04-05 23:50:51,3.26,0.72,0.0,0.0,5,1392451584,4150939648,328622080,1244618752,11710,16,0,4096
2022-04-05 23:50:52,4.06,0.99,0.0,0.0,8,2065620992,10054221824,485593088,1785528320,12031,32,0,4096
2022-04-05 23:50:53,4.81,1.24,0.0,0.0,8,2936745984,11113082880,601907200,2542399488,12031,32,0,4096
2022-04-05 23:50:54,5.58,1.48,0.0,0.0,8,3731623936,12116971520,692891648,3244298240,12031,32,0,4096
