timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], compute_mode
2022/04/05 23:45:27.031, Tesla T4, 56, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:28.032, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:29.033, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:30.034, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:31.035, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:32.036, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:33.037, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:34.038, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:35.039, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:36.040, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:37.041, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:38.043, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:39.044, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:40.045, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:41.046, Tesla T4, 55, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:42.047, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:43.049, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:44.050, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:45.051, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:46.052, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:47.054, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:48.055, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
